Date,Open,High,Low,Close,Adj Close,Volume
2018-02-26,null,null,null,null,null,null
2018-02-27,5650.000000,5675.000000,5550.000000,5575.000000,5450.922363,165600
2018-02-28,5575.000000,5675.000000,5550.000000,5600.000000,5475.366211,338500
2018-03-01,5600.000000,5600.000000,5425.000000,5450.000000,5328.704590,967500
2018-03-02,5450.000000,5450.000000,5400.000000,5425.000000,5304.260742,81100
2018-03-05,5425.000000,5525.000000,5425.000000,5500.000000,5377.591797,225400
2018-03-06,5525.000000,5600.000000,5475.000000,5550.000000,5426.479004,342900
2018-03-07,5550.000000,5600.000000,5300.000000,5600.000000,5475.366211,212400
2018-03-08,5600.000000,5600.000000,5450.000000,5550.000000,5426.479004,390000
2018-03-09,5550.000000,5550.000000,5400.000000,5450.000000,5328.704590,452200
2018-03-12,5450.000000,5675.000000,5450.000000,5650.000000,5524.252930,331600
2018-03-13,5650.000000,5800.000000,5550.000000,5600.000000,5475.366211,730500
2018-03-14,5650.000000,5675.000000,5525.000000,5575.000000,5450.922363,30800
2018-03-15,5500.000000,5500.000000,5200.000000,5300.000000,5182.042969,462800
2018-03-16,5350.000000,5350.000000,5200.000000,5200.000000,5084.268555,164100
2018-03-19,5225.000000,5225.000000,5100.000000,5100.000000,4986.494141,19800
2018-03-20,5100.000000,5175.000000,4900.000000,4940.000000,4830.055176,206700
2018-03-21,4990.000000,5000.000000,4930.000000,4950.000000,4839.832520,183000
2018-03-22,4990.000000,5000.000000,4950.000000,4950.000000,4839.832520,84200
2018-03-23,4910.000000,4990.000000,4900.000000,4990.000000,4878.942383,52900
2018-03-26,4990.000000,4990.000000,4880.000000,4950.000000,4839.832520,428900
2018-03-27,4990.000000,5000.000000,4910.000000,4940.000000,4830.055176,127900
2018-03-28,4920.000000,4920.000000,4810.000000,4850.000000,4742.058105,186000
2018-03-29,4850.000000,4870.000000,4740.000000,4750.000000,4644.283691,80800
2018-03-30,4750.000000,4750.000000,4750.000000,4750.000000,4644.283691,0
2018-04-02,4790.000000,4820.000000,4750.000000,4760.000000,4654.061035,93700
2018-04-03,4760.000000,5150.000000,4760.000000,4880.000000,4771.390137,286400
2018-04-04,4990.000000,4990.000000,4840.000000,4870.000000,4761.612793,473100
2018-04-05,4900.000000,4900.000000,4720.000000,4740.000000,4634.506348,173600
2018-04-06,4780.000000,4820.000000,4740.000000,4800.000000,4693.170898,882000
2018-04-09,4800.000000,4850.000000,4800.000000,4820.000000,4712.725586,42500
2018-04-10,4840.000000,4850.000000,4770.000000,4800.000000,4693.170898,268500
2018-04-11,4800.000000,4860.000000,4790.000000,4790.000000,4683.393555,786400
2018-04-12,4800.000000,4850.000000,4770.000000,4780.000000,4673.615723,110500
2018-04-13,4820.000000,4820.000000,4740.000000,4740.000000,4634.506348,962100
2018-04-16,4740.000000,4740.000000,4740.000000,4740.000000,4634.506348,0
2018-04-17,4740.000000,4740.000000,4740.000000,4740.000000,4634.506348,0
2018-04-18,4730.000000,4760.000000,4630.000000,4640.000000,4536.731934,1356800
2018-04-19,4640.000000,4640.000000,4640.000000,4640.000000,4536.731934,0
2018-04-20,4640.000000,4640.000000,4640.000000,4640.000000,4536.731934,0
2018-04-23,4650.000000,4650.000000,4600.000000,4620.000000,4517.176758,800000
2018-04-24,4630.000000,4630.000000,4580.000000,4600.000000,4497.622070,650100
2018-04-25,4600.000000,4600.000000,4600.000000,4600.000000,4497.622070,0
2018-04-26,4600.000000,4600.000000,4600.000000,4600.000000,4497.622070,0
2018-04-27,4600.000000,4600.000000,4600.000000,4600.000000,4497.622070,0
2018-04-30,3900.000000,3920.000000,3730.000000,3780.000000,3695.872070,1908300
2018-05-01,3780.000000,3780.000000,3780.000000,3780.000000,3695.872070,0
2018-05-02,3780.000000,3800.000000,3740.000000,3790.000000,3705.649414,2663200
2018-05-03,3790.000000,3800.000000,3710.000000,3740.000000,3656.762207,1204500
2018-05-04,3720.000000,3740.000000,3700.000000,3700.000000,3617.652588,135000
2018-05-07,3750.000000,3750.000000,3620.000000,3620.000000,3539.433105,294300
2018-05-08,3650.000000,3650.000000,3390.000000,3440.000000,3363.439209,498900
2018-05-09,3440.000000,3580.000000,3410.000000,3430.000000,3353.661621,434700
2018-05-10,3430.000000,3430.000000,3430.000000,3430.000000,3353.661621,0
2018-05-11,3430.000000,3550.000000,3400.000000,3460.000000,3382.993896,305600
2018-05-14,3460.000000,3460.000000,3230.000000,3330.000000,3255.887207,732300
2018-05-15,3250.000000,3340.000000,3250.000000,3280.000000,3207.000000,1429300
2018-05-16,3280.000000,3320.000000,3270.000000,3280.000000,3207.000000,1338800
2018-05-17,3280.000000,3450.000000,3270.000000,3280.000000,3207.000000,2948700
2018-05-18,3270.000000,3280.000000,3220.000000,3220.000000,3220.000000,819600
2018-05-21,3220.000000,3260.000000,3180.000000,3190.000000,3190.000000,962500
2018-05-22,3200.000000,3240.000000,3160.000000,3160.000000,3160.000000,462600
2018-05-23,3160.000000,3210.000000,3160.000000,3180.000000,3180.000000,387200
2018-05-24,3180.000000,3320.000000,3120.000000,3140.000000,3140.000000,2242400
2018-05-25,3150.000000,3310.000000,3150.000000,3240.000000,3240.000000,2858700
2018-05-28,3280.000000,3460.000000,3270.000000,3310.000000,3310.000000,7489500
2018-05-29,3310.000000,3310.000000,3310.000000,3310.000000,3310.000000,0
2018-05-30,3310.000000,3360.000000,3280.000000,3340.000000,3340.000000,4553300
2018-05-31,3360.000000,3420.000000,3250.000000,3300.000000,3300.000000,5147100
2018-06-01,3300.000000,3300.000000,3300.000000,3300.000000,3300.000000,0
2018-06-04,3300.000000,3370.000000,3280.000000,3340.000000,3340.000000,2472900
2018-06-05,3340.000000,3560.000000,3340.000000,3440.000000,3440.000000,4671400
2018-06-06,3440.000000,3480.000000,3380.000000,3380.000000,3380.000000,2477000
2018-06-07,3420.000000,3420.000000,3310.000000,3320.000000,3320.000000,1820200
2018-06-08,3320.000000,3350.000000,3250.000000,3280.000000,3280.000000,3178100
2018-06-11,3280.000000,3280.000000,3280.000000,3280.000000,3280.000000,0
2018-06-12,3280.000000,3280.000000,3280.000000,3280.000000,3280.000000,0
2018-06-13,3280.000000,3280.000000,3280.000000,3280.000000,3280.000000,0
2018-06-14,3280.000000,3280.000000,3280.000000,3280.000000,3280.000000,0
2018-06-15,3280.000000,3280.000000,3280.000000,3280.000000,3280.000000,0
2018-06-18,3280.000000,3280.000000,3280.000000,3280.000000,3280.000000,0
2018-06-19,3280.000000,3280.000000,3280.000000,3280.000000,3280.000000,0
2018-06-20,3290.000000,3320.000000,3160.000000,3280.000000,3280.000000,1517000
2018-06-21,3290.000000,3420.000000,3280.000000,3340.000000,3340.000000,2026800
2018-06-22,3350.000000,3370.000000,3290.000000,3300.000000,3300.000000,587800
2018-06-25,3300.000000,3300.000000,3180.000000,3210.000000,3210.000000,1428100
2018-06-26,3210.000000,3230.000000,3140.000000,3160.000000,3160.000000,430000
2018-06-27,3160.000000,3210.000000,3160.000000,3190.000000,3190.000000,546300
2018-06-28,3180.000000,3200.000000,3130.000000,3150.000000,3150.000000,1013400
2018-06-29,3160.000000,3220.000000,3150.000000,3180.000000,3180.000000,1060700
2018-07-02,3190.000000,3270.000000,3140.000000,3170.000000,3170.000000,428500
2018-07-03,3170.000000,3190.000000,3150.000000,3150.000000,3150.000000,454000
2018-07-04,3150.000000,3210.000000,3150.000000,3210.000000,3210.000000,440900
2018-07-05,3220.000000,3260.000000,3180.000000,3250.000000,3250.000000,421700
2018-07-06,3250.000000,3300.000000,3240.000000,3280.000000,3280.000000,507700
2018-07-09,3320.000000,3370.000000,3280.000000,3310.000000,3310.000000,580200
2018-07-10,3320.000000,3360.000000,3310.000000,3350.000000,3350.000000,888700
2018-07-11,3350.000000,3360.000000,3240.000000,3340.000000,3340.000000,1356900
2018-07-12,3340.000000,3680.000000,3340.000000,3600.000000,3600.000000,3039700
2018-07-13,3630.000000,3780.000000,3630.000000,3690.000000,3690.000000,2754300
2018-07-16,3690.000000,3700.000000,3620.000000,3650.000000,3650.000000,954000
2018-07-17,3700.000000,3880.000000,3660.000000,3880.000000,3880.000000,2198500
2018-07-18,3880.000000,4210.000000,3860.000000,4180.000000,4180.000000,3332800
2018-07-19,4180.000000,4370.000000,4010.000000,4110.000000,4110.000000,3069600
2018-07-20,4100.000000,4210.000000,3920.000000,4180.000000,4180.000000,1551000
2018-07-23,4230.000000,4300.000000,4130.000000,4180.000000,4180.000000,1105900
2018-07-24,4260.000000,4260.000000,4100.000000,4100.000000,4100.000000,1352500
2018-07-25,4110.000000,4110.000000,3950.000000,3970.000000,3970.000000,1002800
2018-07-26,3970.000000,4030.000000,3970.000000,3990.000000,3990.000000,457800
2018-07-27,3990.000000,4000.000000,3930.000000,3970.000000,3970.000000,480000
2018-07-30,3980.000000,3980.000000,3790.000000,3790.000000,3790.000000,748500
2018-07-31,3790.000000,3790.000000,3510.000000,3510.000000,3510.000000,2257200
2018-08-01,3510.000000,3510.000000,3340.000000,3450.000000,3450.000000,760600
2018-08-02,3460.000000,3490.000000,3380.000000,3380.000000,3380.000000,495800
2018-08-03,3390.000000,3390.000000,3340.000000,3350.000000,3350.000000,370300
2018-08-06,3380.000000,3600.000000,3350.000000,3490.000000,3490.000000,1233800
2018-08-07,3500.000000,3560.000000,3380.000000,3480.000000,3480.000000,744600
2018-08-08,3500.000000,3540.000000,3480.000000,3480.000000,3480.000000,432900
2018-08-09,3500.000000,3530.000000,3440.000000,3440.000000,3440.000000,272800
2018-08-10,3470.000000,3500.000000,3450.000000,3450.000000,3450.000000,351700
2018-08-13,3440.000000,3450.000000,3280.000000,3280.000000,3280.000000,366300
2018-08-14,3280.000000,3430.000000,3200.000000,3340.000000,3340.000000,271200
2018-08-15,3370.000000,3370.000000,3260.000000,3280.000000,3280.000000,134700
2018-08-16,3280.000000,3280.000000,3220.000000,3220.000000,3220.000000,219200
2018-08-17,3220.000000,3220.000000,3220.000000,3220.000000,3220.000000,0
2018-08-20,3230.000000,3300.000000,3150.000000,3260.000000,3260.000000,165200
2018-08-21,3270.000000,3300.000000,3220.000000,3230.000000,3230.000000,293000
2018-08-22,3230.000000,3230.000000,3230.000000,3230.000000,3230.000000,0
2018-08-23,3280.000000,3290.000000,3220.000000,3230.000000,3230.000000,528300
2018-08-24,3230.000000,3260.000000,3220.000000,3220.000000,3220.000000,137400
2018-08-27,3220.000000,3300.000000,3220.000000,3260.000000,3260.000000,205400
2018-08-28,3270.000000,3320.000000,3260.000000,3280.000000,3280.000000,244400
2018-08-29,3280.000000,3400.000000,3280.000000,3300.000000,3300.000000,762300
2018-08-30,3300.000000,3360.000000,3260.000000,3270.000000,3270.000000,385100
2018-08-31,3250.000000,3300.000000,3230.000000,3240.000000,3240.000000,262000
2018-09-03,3240.000000,3270.000000,3240.000000,3240.000000,3240.000000,54300
2018-09-04,3250.000000,3290.000000,3200.000000,3220.000000,3220.000000,157500
2018-09-05,3200.000000,3200.000000,3030.000000,3100.000000,3100.000000,975000
2018-09-06,3080.000000,3100.000000,3020.000000,3020.000000,3020.000000,284400
2018-09-07,3030.000000,3080.000000,2970.000000,2980.000000,2980.000000,656800
2018-09-10,2980.000000,3000.000000,2950.000000,2970.000000,2970.000000,177800
2018-09-11,2970.000000,2970.000000,2970.000000,2970.000000,2970.000000,0
2018-09-12,2970.000000,3010.000000,2940.000000,2940.000000,2940.000000,385100
2018-09-13,2940.000000,3060.000000,2940.000000,3030.000000,3030.000000,273500
2018-09-14,3030.000000,3100.000000,3000.000000,3020.000000,3020.000000,203200
2018-09-17,3020.000000,3020.000000,2960.000000,2970.000000,2970.000000,143600
2018-09-18,2970.000000,3000.000000,2960.000000,2960.000000,2960.000000,93600
2018-09-19,2960.000000,3000.000000,2960.000000,2970.000000,2970.000000,62900
2018-09-20,2970.000000,3000.000000,2950.000000,2980.000000,2980.000000,240300
2018-09-21,2990.000000,3000.000000,2990.000000,3000.000000,3000.000000,119100
2018-09-24,3000.000000,3000.000000,2980.000000,2980.000000,2980.000000,82600
2018-09-25,2980.000000,2990.000000,2930.000000,2950.000000,2950.000000,764900
2018-09-26,2950.000000,3010.000000,2930.000000,2980.000000,2980.000000,831600
2018-09-27,2980.000000,3030.000000,2970.000000,3000.000000,3000.000000,440000
2018-09-28,3020.000000,3050.000000,2970.000000,3050.000000,3050.000000,237500
2018-10-01,3050.000000,3050.000000,2960.000000,2970.000000,2970.000000,702800
2018-10-02,2970.000000,2970.000000,2860.000000,2880.000000,2880.000000,1258300
2018-10-03,2880.000000,2880.000000,2790.000000,2800.000000,2800.000000,1248000
2018-10-04,2800.000000,2800.000000,2730.000000,2750.000000,2750.000000,293600
2018-10-05,2750.000000,2860.000000,2690.000000,2760.000000,2760.000000,461200
2018-10-08,2760.000000,2850.000000,2730.000000,2780.000000,2780.000000,150200
2018-10-09,2780.000000,2800.000000,2750.000000,2750.000000,2750.000000,97500
2018-10-10,2750.000000,2770.000000,2730.000000,2760.000000,2760.000000,162300
2018-10-11,2740.000000,2760.000000,2700.000000,2740.000000,2740.000000,106700
2018-10-12,2790.000000,2800.000000,2710.000000,2750.000000,2750.000000,141500
2018-10-15,2750.000000,2790.000000,2690.000000,2700.000000,2700.000000,148600
2018-10-16,2700.000000,2730.000000,2620.000000,2620.000000,2620.000000,599600
2018-10-17,2620.000000,2670.000000,2600.000000,2600.000000,2600.000000,389400
2018-10-18,2600.000000,2680.000000,2600.000000,2650.000000,2650.000000,368600
2018-10-19,2650.000000,2720.000000,2650.000000,2680.000000,2680.000000,259900
2018-10-22,2750.000000,3240.000000,2690.000000,2840.000000,2840.000000,14470000
2018-10-23,2800.000000,2880.000000,2660.000000,2660.000000,2660.000000,3686200
2018-10-24,2660.000000,2680.000000,2610.000000,2620.000000,2620.000000,1060600
2018-10-25,2600.000000,2600.000000,2490.000000,2510.000000,2510.000000,2088600
2018-10-26,2570.000000,2570.000000,2470.000000,2470.000000,2470.000000,943000
2018-10-29,2470.000000,2570.000000,2450.000000,2450.000000,2450.000000,1378800
2018-10-30,2450.000000,2470.000000,2420.000000,2440.000000,2440.000000,1077400
2018-10-31,2440.000000,2450.000000,2400.000000,2410.000000,2410.000000,771800
2018-11-01,2410.000000,2430.000000,2400.000000,2430.000000,2430.000000,636500
2018-11-02,2450.000000,2450.000000,2320.000000,2350.000000,2350.000000,1519100
2018-11-05,2350.000000,2420.000000,2350.000000,2350.000000,2350.000000,241800
2018-11-06,2370.000000,2400.000000,2350.000000,2350.000000,2350.000000,754800
2018-11-07,2380.000000,2380.000000,2320.000000,2320.000000,2320.000000,505300
2018-11-08,2350.000000,2360.000000,2290.000000,2290.000000,2290.000000,2305400
2018-11-09,2290.000000,2320.000000,2230.000000,2250.000000,2250.000000,954000
2018-11-12,2250.000000,2250.000000,2150.000000,2150.000000,2150.000000,811300
2018-11-13,2150.000000,2200.000000,2100.000000,2160.000000,2160.000000,276000
2018-11-14,2180.000000,2180.000000,2120.000000,2120.000000,2120.000000,181700
2018-11-15,2120.000000,2140.000000,2100.000000,2100.000000,2100.000000,1092800
2018-11-16,2110.000000,2290.000000,2110.000000,2180.000000,2180.000000,680600
2018-11-19,2180.000000,2220.000000,2140.000000,2160.000000,2160.000000,240500
2018-11-20,2160.000000,2160.000000,2160.000000,2160.000000,2160.000000,0
2018-11-21,2160.000000,2170.000000,2130.000000,2130.000000,2130.000000,144700
2018-11-22,2130.000000,2160.000000,2100.000000,2120.000000,2120.000000,753100
2018-11-23,2130.000000,2150.000000,2100.000000,2110.000000,2110.000000,448200
2018-11-26,2110.000000,2140.000000,2010.000000,2030.000000,2030.000000,766400
2018-11-27,2030.000000,2140.000000,2030.000000,2050.000000,2050.000000,997100
2018-11-28,2070.000000,2110.000000,2060.000000,2080.000000,2080.000000,157100
2018-11-29,2080.000000,2160.000000,1990.000000,2030.000000,2030.000000,915000
2018-11-30,2050.000000,2060.000000,1985.000000,1985.000000,1985.000000,1504500
2018-12-03,2000.000000,2080.000000,2000.000000,2080.000000,2080.000000,1017100
2018-12-04,2100.000000,2120.000000,2020.000000,2030.000000,2030.000000,723000
2018-12-05,2030.000000,2030.000000,1985.000000,1990.000000,1990.000000,1780200
2018-12-06,2000.000000,2020.000000,1960.000000,1965.000000,1965.000000,874900
2018-12-07,1970.000000,1980.000000,1920.000000,1945.000000,1945.000000,2380900
2018-12-10,1950.000000,1970.000000,1885.000000,1885.000000,1885.000000,1709400
2018-12-11,1895.000000,1895.000000,1835.000000,1850.000000,1850.000000,1196100
2018-12-12,1850.000000,1875.000000,1795.000000,1810.000000,1810.000000,2122600
2018-12-13,1820.000000,1825.000000,1775.000000,1790.000000,1790.000000,2399000
2018-12-14,1800.000000,1855.000000,1790.000000,1820.000000,1820.000000,1182700
2018-12-17,1830.000000,1840.000000,1775.000000,1785.000000,1785.000000,1615500
2018-12-18,1780.000000,1835.000000,1745.000000,1755.000000,1755.000000,1167500
2018-12-19,1765.000000,1770.000000,1735.000000,1735.000000,1735.000000,1594100
2018-12-20,1740.000000,1760.000000,1735.000000,1745.000000,1745.000000,947000
2018-12-21,1745.000000,1745.000000,1715.000000,1730.000000,1730.000000,1943100
2018-12-24,1730.000000,1730.000000,1730.000000,1730.000000,1730.000000,0
2018-12-25,1730.000000,1730.000000,1730.000000,1730.000000,1730.000000,0
2018-12-26,1725.000000,1725.000000,1675.000000,1700.000000,1700.000000,961800
2018-12-27,1710.000000,1715.000000,1685.000000,1690.000000,1690.000000,413400
2018-12-28,1700.000000,1700.000000,1685.000000,1685.000000,1685.000000,916400
2018-12-31,1685.000000,1685.000000,1685.000000,1685.000000,1685.000000,0
2019-01-01,1685.000000,1685.000000,1685.000000,1685.000000,1685.000000,0
2019-01-02,1685.000000,1690.000000,1645.000000,1645.000000,1645.000000,933700
2019-01-03,1645.000000,1680.000000,1645.000000,1650.000000,1650.000000,1670200
2019-01-04,1655.000000,1785.000000,1655.000000,1725.000000,1725.000000,2955600
2019-01-07,1745.000000,1805.000000,1740.000000,1765.000000,1765.000000,5718800
2019-01-08,1775.000000,1830.000000,1775.000000,1805.000000,1805.000000,8600100
2019-01-09,1840.000000,2250.000000,1835.000000,2250.000000,2250.000000,78808600
2019-01-10,2100.000000,2100.000000,1890.000000,1945.000000,1945.000000,35247300
2019-01-11,1950.000000,2010.000000,1945.000000,1975.000000,1975.000000,6310200
2019-01-14,1975.000000,2120.000000,1960.000000,2100.000000,2100.000000,14616500
2019-01-15,2140.000000,2160.000000,2050.000000,2130.000000,2130.000000,10217900
2019-01-16,2130.000000,2210.000000,2100.000000,2100.000000,2100.000000,12134200
2019-01-17,2100.000000,2140.000000,2010.000000,2040.000000,2040.000000,2893700
2019-01-18,2060.000000,2120.000000,2050.000000,2120.000000,2120.000000,3444100
2019-01-21,2140.000000,2160.000000,2070.000000,2090.000000,2090.000000,2396500
2019-01-22,2100.000000,2590.000000,2060.000000,2380.000000,2380.000000,45643300
2019-01-23,2390.000000,2970.000000,2350.000000,2960.000000,2960.000000,59472800
2019-01-24,2970.000000,3190.000000,2850.000000,2880.000000,2880.000000,48583900
2019-01-25,2900.000000,2900.000000,2700.000000,2700.000000,2700.000000,12039500
2019-01-28,2710.000000,3020.000000,2630.000000,2750.000000,2750.000000,30278100
2019-01-29,2780.000000,2810.000000,2630.000000,2690.000000,2690.000000,7087700
2019-01-30,2700.000000,2780.000000,2630.000000,2690.000000,2690.000000,15693100
2019-01-31,2720.000000,2790.000000,2700.000000,2740.000000,2740.000000,12839900
2019-02-01,2750.000000,2940.000000,2720.000000,2920.000000,2920.000000,48055300
2019-02-04,2950.000000,3160.000000,2880.000000,3100.000000,3100.000000,60997000
2019-02-05,3100.000000,3100.000000,3100.000000,3100.000000,3100.000000,0
2019-02-06,3100.000000,3350.000000,3100.000000,3300.000000,3300.000000,40858800
2019-02-07,3300.000000,3590.000000,3300.000000,3490.000000,3490.000000,39122700
2019-02-08,3530.000000,3560.000000,3390.000000,3460.000000,3460.000000,14783300
2019-02-11,3450.000000,3680.000000,3420.000000,3520.000000,3520.000000,24296000
2019-02-12,3510.000000,3570.000000,3140.000000,3260.000000,3260.000000,26491500
2019-02-13,3280.000000,3400.000000,3150.000000,3200.000000,3200.000000,14872000
2019-02-14,3250.000000,3760.000000,3200.000000,3750.000000,3750.000000,48687600
2019-02-15,3750.000000,3790.000000,3500.000000,3700.000000,3700.000000,25485200
2019-02-18,3730.000000,3790.000000,3620.000000,3700.000000,3700.000000,13683800
2019-02-19,3700.000000,3700.000000,3510.000000,3600.000000,3600.000000,17902200
2019-02-20,3610.000000,3740.000000,3550.000000,3600.000000,3600.000000,10185400
2019-02-21,3620.000000,3720.000000,3550.000000,3610.000000,3610.000000,7663200
2019-02-22,3620.000000,3650.000000,3370.000000,3430.000000,3430.000000,9948500
2019-02-25,3450.000000,3510.000000,3320.000000,3400.000000,3400.000000,9841800
2019-02-26,3410.000000,3450.000000,3100.000000,3150.000000,3150.000000,10931100
